Brand,Category,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm)
indian,Custom / cruiser,1203.0,123.0,117.0,V2,6-speed,102.0,73.6,12.9,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,230.0,1524.0,840.0
ducati,Sport,1198.0,191.0,132.0,V2,6-speed,112.0,60.8,17.0,Desmodromic valve control,Liquid,Chain,164.0,1437.0,825.0
triumph,Classic,675.0,126.0,75.0,In-line three,6-speed,74.0,52.3,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,162.0,1395.0,825.0
triumph,Sport,675.0,128.0,74.0,In-line three,6-speed,76.0,49.6,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,167.0,1375.0,830.0
suzuki,Scooter,125.0,12.2,10.8,Single cylinder,Automatic,57.0,48.8,11.0,Single Overhead Cams (SOHC),Liquid,Belt,148.0,1465.0,735.0
harley-davidson,Touring,1688.0,87.0,138.0,V2,6-speed,98.4,111.3,22.71,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,355.0,1625.0,695.0
triumph,Super motard,799.0,95.0,79.0,In-line three,6-speed,74.0,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,196.0,1545.0,840.0
harley-davidson,Custom / cruiser,1868.2,86.0,161.0,V2,6-speed,102.1,114.3,18.9,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,294.8,1615.0,673.0
bmw,Sport,999.0,165.0,112.0,In-line four,6-speed,80.0,49.7,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,178.0,1548.0,840.0
kawasaki,Enduro / offroad,125.0,10.2,10.0,Single cylinder,5-speed,54.0,54.4,7.0,Single Overhead Cams (SOHC),Air,Chain,113.0,1285.0,830.0
honda,Touring,1832.0,118.0,167.0,Six cylinder boxer,5-speed,74.0,71.0,24.98,Single Overhead Cams (SOHC),Liquid,Shaft drive,359.2,1692.0,739.0
ducati,Super motard,821.1,110.0,89.0,V2,6-speed,88.0,67.5,16.0,Desmodromic valve control,Liquid,Chain,171.0,1505.0,890.0
ducati,Allround,1198.4,160.0,136.0,V2,6-speed,106.0,67.9,20.0,Desmodromic valve control,Liquid,Chain,209.0,1530.0,825.0
mv agusta,Sport,675.0,126.0,71.0,In-line three,6-speed,79.0,45.9,16.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,173.0,1380.0,812.0
triumph,Super motard,800.0,95.0,79.0,In-line three,6-speed,74.0,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,199.0,1530.0,810.0
yamaha,Naked bike,779.0,104.0,82.0,In-line four,6-speed,68.0,53.6,17.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,211.0,1460.0,815.0
triumph,Allround,865.0,56.0,51.0,Twin,5-speed,90.0,68.0,16.65,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,204.6,1501.0,826.0
triumph,Super motard,799.0,95.0,79.0,In-line three,6-speed,74.0,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,190.0,1545.0,810.0
bmw,Enduro / offroad,1170.0,125.0,125.0,Two cylinder boxer,6-speed,101.0,73.0,30.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive,229.1,1510.0,890.0
keeway,Naked bike,197.0,12.7,13.5,Single cylinder,5-speed,63.5,62.2,17.0,Overhead Valves (OHV),Liquid,Chain,123.0,1330.0,770.0
ducati,Sport,998.0,138.0,108.0,V2,6-speed,100.0,63.5,15.5,Desmodromic valve control,Liquid,Chain,186.0,1420.0,780.0
ducati,Sport,1285.0,205.0,144.0,V2,6-speed,116.0,60.8,17.0,Desmodromic valve control,Liquid,Chain,166.5,1437.0,830.0
ducati,Sport,849.4,140.0,98.0,V2,6-speed,94.0,61.2,15.5,Desmodromic valve control,Liquid,Chain,168.0,1430.0,830.0
yamaha,Super motard,249.0,18.0,19.0,Single cylinder,5-speed,74.0,58.0,9.6,Single Overhead Cams (SOHC),Oil & air,Chain,133.0,1365.0,790.0
bmw,Allround,798.0,83.8,86.0,Twin,6-speed,82.0,75.6,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,182.0,1466.0,820.0
bmw,Naked bike,1293.0,175.0,140.0,In-line four,6-speed,80.0,64.3,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,217.0,1585.0,820.0
suzuki,Scooter,124.0,9.3,9.6,Single cylinder,Automatic,53.5,55.2,3.9,Single Overhead Cams (SOHC),Air,Belt,106.0,1285.0,770.0
ducati,Sport,959.0,157.0,107.0,V2,6-speed,100.0,60.8,17.0,Desmodromic valve control,Liquid,Chain,176.0,1431.0,830.0
honda,Sport,999.0,101.0,90.0,V4,6-speed,81.0,48.5,21.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,172.0,1465.0,830.0
aprilia,Sport,999.6,201.0,115.0,V4,6-speed,78.0,52.3,18.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,180.0,1420.0,845.0
honda,Naked bike,471.0,46.9,43.0,Twin,6-speed,67.0,66.8,16.7,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,192.0,1410.0,790.0
triumph,Custom / cruiser,1699.0,94.0,146.0,Twin,6-speed,107.1,94.3,22.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,317.0,1615.0,700.0
bmw,Enduro / offroad,798.0,85.0,83.0,Twin,6-speed,82.0,75.6,24.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,191.0,1578.0,890.0
keeway,Naked bike,124.5,11.3,10.0,Single cylinder,5-speed,57.0,48.8,16.0,Overhead Valves (OHV),Air,Chain,121.0,1260.0,760.0
ducati,Naked bike,992.0,93.9,94.1,V2,6-speed,94.0,71.5,14.0,Desmodromic valve control,Air,Chain,178.0,1440.0,800.0
keeway,Scooter,124.8,8.7,9.5,Single cylinder,4-speed,52.4,57.8,3.9,Single Overhead Cams (SOHC),Air,Chain,99.0,1258.0,785.0
harley-davidson,Custom / cruiser,1745.0,86.0,145.0,V2,6-speed,100.0,111.1,18.9,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,287.0,1630.0,690.0
ducati,Sport,898.0,148.0,99.0,V2,6-speed,100.0,57.2,17.0,Desmodromic valve control,Liquid,Chain,169.0,1426.0,830.0
triumph,Custom / cruiser,2294.0,142.0,200.0,In-line three,5-speed,101.6,94.3,23.84,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,319.3,1695.0,740.0
buell,Naked bike,984.0,92.0,94.9,V2,5-speed,88.9,79.4,13.0,Overhead Valves (OHV),Oil & air,Shaft drive,174.6,1321.0,777.0
triumph,Custom / cruiser,865.0,61.0,72.0,Twin,5-speed,90.0,68.0,19.3,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,231.0,1600.0,690.0
ducati,Naked bike,618.0,62.2,41.2,V2,6-speed,80.0,61.5,14.0,Desmodromic valve control,Air,Chain,168.0,1440.0,770.0
kawasaki,Super motard,144.0,11.7,12.0,Single cylinder,5-speed,54.0,54.4,7.0,Single Overhead Cams (SOHC),Air,Chain,113.0,1255.0,805.0
yamaha,Sport,49.0,2.7,3.0,Single cylinder,5-speed,40.3,39.0,14.0,Single Overhead Cams (SOHC),Liquid,Chain,112.0,1341.0,815.0
bmw,Touring,798.0,83.8,86.0,Twin,6-speed,82.0,75.6,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,182.0,1466.0,820.0
